Internal ID,External ID,Source
rxn00168,PYRDC,BiGG
rxn00170,ACH1,BiGG
rxn00170,ACOAH,BiGG
rxn00170,ACOAHim,BiGG
rxn00171,ACALD,BiGG
rxn00171,ACALDi,BiGG
rxn00173,PTA,BiGG
rxn00173,PTAr,BiGG
rxn00174,MCD,BiGG
rxn00175,ACS,BiGG
rxn00175,ACS1,BiGG
rxn00175,ACSm,BiGG
rxn00175,ACSp,BiGG
rxn00175,ACSr,BiGG
rxn00178,AACOAT,BiGG
rxn00178,ACACT1,BiGG
rxn00178,ACACT1m,BiGG
rxn00178,ACACT1r,BiGG
rxn00178,ERG10,BiGG
rxn00178,KAT1,BiGG
rxn00179,GLU5K,BiGG
rxn00180,PRO1,BiGG
rxn00182,GDH2,BiGG
rxn00182,GLUDx,BiGG
rxn00182,GLUDxi,BiGG
rxn00183,GSADH,BiGG
rxn00183,PUTA3,BiGG
rxn00184,GDH1,BiGG
rxn00184,GDH3,BiGG
rxn00184,GLUDy,BiGG
rxn00184,GLUDyi,BiGG
rxn00186,OPAH,BiGG
rxn00187,GLN1,BiGG
rxn00187,GLNS,BiGG
rxn00187,GLNS_i,BiGG
rxn00189,GLUN,BiGG
rxn00189,GLUNpp,BiGG
rxn00189,U42,BiGG
rxn00189,U43,BiGG
rxn00190,NADS2,BiGG
rxn00190,NADS2i,BiGG
rxn00191,ALATA_L,BiGG
rxn00191,ALATA_Lm,BiGG
rxn00191,YDR111C,BiGG
rxn00191,YLR089C,BiGG
rxn00192,ACGS,BiGG
rxn00192,ACGSm,BiGG
rxn00192,ECM40_1,BiGG
rxn00193,GLUR,BiGG
rxn00194,GAD1,BiGG
rxn00194,GLUDC,BiGG
rxn00198,ICDHy,BiGG
rxn00198,ICDHym,BiGG
rxn00198,ICDHyp,BiGG
rxn00198,ICDHyr,BiGG
rxn00199,IDP1_2,BiGG
rxn00199,IDP2_2,BiGG
rxn00199,IDP3_2,BiGG
rxn00202,HCITS,BiGG
rxn00202,HCITSm,BiGG
rxn00202,HCITSn,BiGG
rxn00202,LYS20_1,BiGG
rxn00202,LYS20_2,BiGG
rxn00202,LYS21,BiGG
rxn00203,OXGDC,BiGG
rxn00205,GPX1,BiGG
rxn00205,GPX2,BiGG
rxn00205,GSHPO,BiGG
rxn00205,GTHP,BiGG
rxn00205,GTHPe,BiGG
rxn00205,GTHPm,BiGG
rxn00205,HYR1,BiGG
rxn00206,SOD,BiGG
rxn00206,SODe,BiGG
rxn00206,SODr,BiGG
rxn00206,SPODM,BiGG
rxn00206,SPODMpp,BiGG
rxn00208,PDX3_1,BiGG
rxn00208,PDX3_5,BiGG
rxn00208,PYAM5PO,BiGG
rxn00209,PDX3_2,BiGG
rxn00209,PDX5PO,BiGG
rxn00209,PDX5POi,BiGG
rxn00211,UDPGD,BiGG
rxn00211,UDPGDi,BiGG
