Orthogroup	Bpertussis	Ecoli	Total
OG0000000	2	12	14
OG0000001	1	7	8
OG0000002	5	2	7
OG0000003	1	6	7
OG0000004	4	1	5
OG0000005	2	3	5
OG0000006	3	2	5
OG0000007	4	1	5
OG0000008	1	4	5
OG0000009	1	4	5
OG0000010	2	2	4
OG0000011	2	2	4
OG0000012	3	1	4
OG0000013	2	2	4
OG0000014	1	3	4
OG0000015	2	2	4
OG0000016	3	1	4
OG0000017	1	3	4
OG0000018	2	2	4
OG0000019	1	3	4
OG0000020	1	3	4
OG0000021	1	3	4
OG0000022	3	1	4
OG0000023	1	3	4
OG0000024	1	3	4
OG0000025	3	1	4
OG0000026	1	3	4
OG0000027	2	1	3
OG0000028	2	1	3
OG0000029	1	2	3
OG0000030	1	2	3
OG0000031	1	2	3
OG0000032	2	1	3
OG0000033	1	2	3
OG0000034	2	1	3
OG0000035	1	2	3
OG0000036	2	1	3
OG0000037	1	2	3
OG0000038	1	2	3
OG0000039	2	1	3
OG0000040	1	2	3
OG0000041	2	1	3
OG0000042	1	2	3
OG0000043	1	2	3
OG0000044	2	1	3
OG0000045	1	2	3
OG0000046	1	2	3
OG0000047	1	2	3
OG0000048	1	2	3
OG0000049	1	2	3
OG0000050	1	2	3
OG0000051	1	2	3
OG0000052	2	1	3
OG0000053	1	2	3
OG0000054	1	2	3
OG0000055	1	2	3
OG0000056	1	2	3
OG0000057	1	2	3
OG0000058	1	2	3
OG0000059	1	2	3
OG0000060	1	2	3
OG0000061	2	1	3
OG0000062	1	2	3
OG0000063	1	2	3
OG0000064	2	1	3
OG0000065	1	2	3
OG0000066	1	2	3
OG0000067	2	1	3
OG0000068	1	2	3
OG0000069	1	2	3
OG0000070	2	1	3
OG0000071	1	2	3
OG0000072	1	2	3
OG0000073	1	2	3
OG0000074	1	2	3
OG0000075	1	2	3
OG0000076	1	2	3
OG0000077	2	1	3
OG0000078	1	2	3
OG0000079	2	1	3
OG0000080	1	2	3
OG0000081	1	2	3
OG0000082	1	2	3
OG0000083	2	1	3
OG0000084	1	2	3
OG0000085	1	2	3
OG0000086	2	1	3
OG0000087	1	2	3
OG0000088	2	1	3
OG0000089	1	2	3
OG0000090	2	1	3
OG0000091	1	2	3
OG0000092	1	2	3
OG0000093	1	2	3
OG0000094	1	2	3
OG0000095	1	2	3
OG0000096	1	2	3
OG0000097	1	2	3
OG0000098	1	2	3
OG0000099	1	1	2
OG0000100	1	1	2
OG0000101	1	1	2
