model,reactions number,removed reactions,converted reactions,non-converted reactions,recall,precision,f1
merlin,1819,562,1134,123,0.4118942731277533,0.3306808134394341,0.36684649337910735
aureme,881,178,583,120,0.5222222222222223,0.8216783216783217,0.6385869565217391
autokeggrec model,884,0,834,50,0.3947078280044101,0.43080625752105894,0.41196777905638665
carveme model,2307,924,881,502,0.6237402015677491,0.661520190023753,0.6420749279538905
modelseed model,1336,185,1150,1,0.0970556161395856,0.07739130434782608,0.08611514271891631
pathwaytools model,1334,35,936,363,0.2844638949671772,0.28077753779697623,0.28260869565217384
raven model,3577,0,3042,535,0.4944933920704846,0.14828269484808454,0.22815040650406504
merlin bit model,1526,337,992,197,0.6915367483296214,0.6356192425793245,0.6624
