model,genes number,recall,precision,f1
merlin,725,0.6744505494505495,0.6772413793103448,0.6758430832759807
aureme,317,0.39972527472527475,0.917981072555205,0.5569377990430622
autokeggrec model,807,0.7293956043956044,0.6579925650557621,0.69185667752443
carveme model,808,0.6662087912087912,0.6002475247524752,0.6315104166666666
modelseed model,718,0.6703296703296703,0.6796657381615598,0.6749654218533886
pathwaytools model,856,0.6964285714285714,0.5922897196261683,0.6401515151515152
raven model,1295,0.8365384615384616,0.4702702702702703,0.6020761245674742
merlin bit model,552,0.6112637362637363,0.8061594202898551,0.6953125000000001
