model,genes number,recall,precision,f1,true positives,false positives,false negatives,ratio,jaccard distance
merlin BLAST auto,708,0.6266924564796905,0.4576271186440678,0.5289795918367347,324.0,384.0,193.0,0.84375,0.6403995560488347
merlin DIAMOND,715,0.6478599221789884,0.46573426573426574,0.5419039869812857,333.0,382.0,181.0,0.8717277486910995,0.6283482142857143
merlin BLAST SamPleR,708,0.6266924564796905,0.4576271186440678,0.5289795918367347,324.0,384.0,193.0,0.84375,0.6403995560488347
AuReMe,243,0.20352781546811397,0.6172839506172839,0.30612244897959184,150.0,93.0,587.0,1.6129032258064515,0.8192771084337349
autoKEGGrec,772,0.5051724137931034,0.3795336787564767,0.4334319526627219,293.0,479.0,287.0,0.6116910229645094,0.7233238904627006
PathwayTools,1236,0.7217573221757322,0.279126213592233,0.4025670945157526,345.0,891.0,133.0,0.3872053872053872,0.747991234477721
RAVEN,1017,0.9282296650717703,0.3815142576204523,0.5407665505226481,388.0,629.0,30.0,0.6168521462639109,0.6294173829990448
merlin BIT,104,0.07459207459207459,0.6153846153846154,0.13305613305613304,64.0,40.0,794.0,1.6,0.9287305122494433
