Number of species	2
Number of genes	23997
Number of genes in orthogroups	9954
Number of unassigned genes	14043
Percentage of genes in orthogroups	41.5
Percentage of unassigned genes	58.5
Number of orthogroups	4337
Number of species-specific orthogroups	8
Number of genes in species-specific orthogroups	25
Percentage of genes in species-specific orthogroups	0.1
Mean orthogroup size	2.3
Median orthogroup size	2.0
G50 (assigned genes)	2
G50 (all genes)	1
O50 (assigned genes)	1849
O50 (all genes)	6382
Number of orthogroups with all species present	4329
Number of single-copy orthogroups	3716
Date	2022-01-04
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	0	0.0	0	0.0
'1	4080	94.1	8521	85.6
'2	199	4.6	837	8.4
'3	26	0.6	164	1.6
'4	15	0.3	127	1.3
'5	5	0.1	52	0.5
'6	2	0.0	25	0.3
'7	2	0.0	29	0.3
'8	2	0.0	33	0.3
'9	0	0.0	0	0.0
'10	0	0.0	0	0.0
11-15	6	0.1	166	1.7
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	8
2	4329
