Internal ID,External ID,Source
MNXM1091574,12dgr205n3226n3,BiGG
MNXM1091575,12dgr226n3,BiGG
MNXM1091576,12dgr226n3140,BiGG
MNXM1091577,12dgr226n3160,BiGG
MNXM1091578,12dgr226n31619Z,BiGG
MNXM1091579,12dgr226n3180,BiGG
MNXM1091580,12dgr226n31819Z,BiGG
MNXM1091581,12dgr226n3182n6,BiGG
MNXM1091582,12dgr226n3183n3,BiGG
MNXM1091583,12dgr226n3183n6,BiGG
MNXM1091584,12dgr226n3204n6,BiGG
MNXM1091585,12dgr226n3205n3,BiGG
MNXM1091586,12dgr_LLA,BiGG
MNXM1091587,12dgr_LM,BiGG
MNXM1091588,12dgr_TB,BiGG
MNXM1091589,12dhchol,BiGG
MNXM1091590,12diisgly,BiGG
MNXM1091591,12m3htdACP,BiGG
MNXM1091592,12m3otACP,BiGG
MNXM1091593,12mdhtACP,BiGG
MNXM1091594,12methedec,BiGG
MNXM1091595,12methtetdec2,BiGG
MNXM1091596,12mgdg160,BiGG
MNXM1091597,12mgdg161,BiGG
MNXM1091598,12mgdg180,BiGG
MNXM1091599,12mgdg181,BiGG
MNXM1091600,12mgdg181_9,BiGG
MNXM1091601,12mgdg182_9_12,BiGG
MNXM1091602,12mgdg183_6_9_12,BiGG
MNXM1091603,12mgdg183_9_12_15,BiGG
MNXM1091604,12mgdg184_6_9_12_15,BiGG
MNXM1091605,12mtACP,BiGG
MNXM1091606,12mtt2eACP,BiGG
MNXM1091607,12napdol,BiGG
MNXM1091608,13glucan,BiGG
MNXM1091609,13m3htdACP,BiGG
MNXM1091610,13m3otdACP,BiGG
MNXM1091611,13mtdACP,BiGG
MNXM1091612,13mttd2eACP,BiGG
MNXM1091613,14denlipidA,BiGG
MNXM1091614,14denlipidA_LptA,BiGG
MNXM1091615,14dh2napcoa,BiGG
MNXM1091616,14m3hdACP,BiGG
MNXM1091617,14m3hpACP,BiGG
MNXM1091618,14m3ohdACP,BiGG
MNXM1091619,14m3opACP,BiGG
MNXM1091620,14mhdACP,BiGG
MNXM1091621,14mpACP,BiGG
MNXM1091622,14mthdeACP,BiGG
MNXM1091623,14mtp2eACP,BiGG
MNXM1091624,15gl,BiGG
MNXM1091625,15m3hdACP,BiGG
MNXM1091626,15m3ohdACP,BiGG
MNXM1091627,15methexeACP,BiGG
MNXM1091628,15mhdACP,BiGG
MNXM1091629,16m3hdACP,BiGG
MNXM1091630,16m3hpACP,BiGG
MNXM1091631,16m3ohdACP,BiGG
MNXM1091632,16m3opACP,BiGG
MNXM1091633,16mhdACP,BiGG
MNXM1091634,16mpACP,BiGG
MNXM1091635,16mthdeACP,BiGG
MNXM1091636,16mtp2eACP,BiGG
MNXM1091637,17m3hdACP,BiGG
MNXM1091638,17m3ohdACP,BiGG
MNXM1091639,17mhdACP,BiGG
MNXM1091640,17mthdeACP,BiGG
MNXM1091641,1ag160,BiGG
MNXM1091642,1ag180,BiGG
MNXM1091643,1ag181d9,BiGG
MNXM1091644,1ag182d9d12,BiGG
MNXM1091645,1ag3p,BiGG
MNXM1091646,1ag3p_LM,BiGG
MNXM1091647,1agly3p_LM,BiGG
MNXM1091648,1agpc140,BiGG
MNXM1091649,1agpc160,BiGG
MNXM1091650,1agpc161,BiGG
MNXM1091651,1agpc180,BiGG
MNXM1091652,1agpc181,BiGG
MNXM1091653,1agpc182,BiGG
MNXM1091654,1agpc205,BiGG
MNXM1091655,1agpc226,BiGG
MNXM1091656,1agpe182,BiGG
MNXM1091657,1agpe205,BiGG
MNXM1091658,1agpe226,BiGG
MNXM1091659,1docos4710131619eg3p,BiGG
MNXM1091660,1eicos58111417eg3p,BiGG
MNXM1091661,1gCELLWALL,BiGG
MNXM1091662,1gCELLWALL2,BiGG
MNXM1091663,1gDNA,BiGG
MNXM1091664,1gDNA2,BiGG
MNXM1091665,1gLIPIDS,BiGG
MNXM1091666,1gLIPIDS2,BiGG
MNXM1091667,1gLIPIDSr,BiGG
MNXM1091668,1gMeasuredSolutes,BiGG
MNXM1091669,1gMeasuredSolutes2,BiGG
MNXM1091670,1gOtherSolutes2,BiGG
MNXM1091671,1gOtherSolutes_r,BiGG
MNXM1091672,1gPROTEIN,BiGG
MNXM1091673,1gPROTEIN2,BiGG
MNXM1091674,1gRNA,BiGG
