#source,ID
bigg.metabolite:12dgr182n6140,MNXM1091551
bigg.metabolite:12dgr182n6160,MNXM1091552
bigg.metabolite:12dgr182n61619Z,MNXM1091553
bigg.metabolite:12dgr182n6180,MNXM1091554
bigg.metabolite:12dgr182n61819Z,MNXM1091555
bigg.metabolite:12dgr182n6183n3,MNXM1091556
bigg.metabolite:12dgr182n6183n6,MNXM1091557
bigg.metabolite:12dgr182n6204n6,MNXM1091558
bigg.metabolite:12dgr182n6205n3,MNXM1091559
bigg.metabolite:12dgr182n6226n3,MNXM1091560
bigg.metabolite:12dgr205n3,MNXM1091561
bigg.metabolite:12dgr205n3140,MNXM1091562
bigg.metabolite:12dgr205n3160,MNXM1091563
bigg.metabolite:12dgr205n31619Z,MNXM1091564
bigg.metabolite:12dgr205n3162n4,MNXM1091565
bigg.metabolite:12dgr205n3163n4,MNXM1091566
bigg.metabolite:12dgr205n3164n1,MNXM1091567
bigg.metabolite:12dgr205n3180,MNXM1091568
bigg.metabolite:12dgr205n31819Z,MNXM1091569
bigg.metabolite:12dgr205n3182n6,MNXM1091570
bigg.metabolite:12dgr205n3183n3,MNXM1091571
bigg.metabolite:12dgr205n3183n6,MNXM1091572
bigg.metabolite:12dgr205n3204n6,MNXM1091573
bigg.metabolite:12dgr205n3226n3,MNXM1091574
bigg.metabolite:12dgr226n3,MNXM1091575
bigg.metabolite:12dgr226n3140,MNXM1091576
bigg.metabolite:12dgr226n3160,MNXM1091577
bigg.metabolite:12dgr226n31619Z,MNXM1091578
bigg.metabolite:12dgr226n3180,MNXM1091579
bigg.metabolite:12dgr226n31819Z,MNXM1091580
bigg.metabolite:12dgr226n3182n6,MNXM1091581
bigg.metabolite:12dgr226n3183n3,MNXM1091582
bigg.metabolite:12dgr226n3183n6,MNXM1091583
bigg.metabolite:12dgr226n3204n6,MNXM1091584
bigg.metabolite:12dgr226n3205n3,MNXM1091585
bigg.metabolite:12dgr_LLA,MNXM1091586
bigg.metabolite:12dgr_LM,MNXM1091587
bigg.metabolite:12dgr_TB,MNXM1091588
bigg.metabolite:12dhchol,MNXM1091589
bigg.metabolite:12diisgly,MNXM1091590
bigg.metabolite:12m3htdACP,MNXM1091591
bigg.metabolite:12m3otACP,MNXM1091592
bigg.metabolite:12mdhtACP,MNXM1091593
bigg.metabolite:12methedec,MNXM1091594
bigg.metabolite:12methtetdec2,MNXM1091595
bigg.metabolite:12mgdg160,MNXM1091596
bigg.metabolite:12mgdg161,MNXM1091597
bigg.metabolite:12mgdg180,MNXM1091598
bigg.metabolite:12mgdg181,MNXM1091599
bigg.metabolite:12mgdg181_9,MNXM1091600
bigg.metabolite:12mgdg182_9_12,MNXM1091601
bigg.metabolite:12mgdg183_6_9_12,MNXM1091602
bigg.metabolite:12mgdg183_9_12_15,MNXM1091603
bigg.metabolite:12mgdg184_6_9_12_15,MNXM1091604
bigg.metabolite:12mtACP,MNXM1091605
bigg.metabolite:12mtt2eACP,MNXM1091606
bigg.metabolite:12napdol,MNXM1091607
bigg.metabolite:13glucan,MNXM1091608
bigg.metabolite:13m3htdACP,MNXM1091609
bigg.metabolite:13m3otdACP,MNXM1091610
bigg.metabolite:13mtdACP,MNXM1091611
bigg.metabolite:13mttd2eACP,MNXM1091612
bigg.metabolite:14denlipidA,MNXM1091613
bigg.metabolite:14denlipidA_LptA,MNXM1091614
bigg.metabolite:14dh2napcoa,MNXM1091615
bigg.metabolite:14m3hdACP,MNXM1091616
bigg.metabolite:14m3hpACP,MNXM1091617
bigg.metabolite:14m3ohdACP,MNXM1091618
bigg.metabolite:14m3opACP,MNXM1091619
bigg.metabolite:14mhdACP,MNXM1091620
bigg.metabolite:14mpACP,MNXM1091621
bigg.metabolite:14mthdeACP,MNXM1091622
bigg.metabolite:14mtp2eACP,MNXM1091623
bigg.metabolite:15gl,MNXM1091624
bigg.metabolite:15m3hdACP,MNXM1091625
bigg.metabolite:15m3ohdACP,MNXM1091626
bigg.metabolite:15methexeACP,MNXM1091627
bigg.metabolite:15mhdACP,MNXM1091628
bigg.metabolite:16m3hdACP,MNXM1091629
bigg.metabolite:16m3hpACP,MNXM1091630
bigg.metabolite:16m3ohdACP,MNXM1091631
