#source,ID
bigg.metabolite:12dgr226n3183n3,MNXM1091582
bigg.metabolite:12dgr226n3183n6,MNXM1091583
bigg.metabolite:12dgr226n3204n6,MNXM1091584
bigg.metabolite:12dgr226n3205n3,MNXM1091585
bigg.metabolite:12dgr_LLA,MNXM1091586
bigg.metabolite:12dgr_LM,MNXM1091587
bigg.metabolite:12dgr_TB,MNXM1091588
bigg.metabolite:12dhchol,MNXM1091589
bigg.metabolite:12diisgly,MNXM1091590
bigg.metabolite:12m3htdACP,MNXM1091591
bigg.metabolite:12m3otACP,MNXM1091592
bigg.metabolite:12mdhtACP,MNXM1091593
bigg.metabolite:12methedec,MNXM1091594
bigg.metabolite:12methtetdec2,MNXM1091595
bigg.metabolite:12mgdg160,MNXM1091596
bigg.metabolite:12mgdg161,MNXM1091597
bigg.metabolite:12mgdg180,MNXM1091598
bigg.metabolite:12mgdg181,MNXM1091599
bigg.metabolite:12mgdg181_9,MNXM1091600
bigg.metabolite:12mgdg182_9_12,MNXM1091601
bigg.metabolite:12mgdg183_6_9_12,MNXM1091602
bigg.metabolite:12mgdg183_9_12_15,MNXM1091603
bigg.metabolite:12mgdg184_6_9_12_15,MNXM1091604
bigg.metabolite:12mtACP,MNXM1091605
bigg.metabolite:12mtt2eACP,MNXM1091606
bigg.metabolite:12napdol,MNXM1091607
bigg.metabolite:13glucan,MNXM1091608
bigg.metabolite:13m3htdACP,MNXM1091609
bigg.metabolite:13m3otdACP,MNXM1091610
bigg.metabolite:13mtdACP,MNXM1091611
bigg.metabolite:13mttd2eACP,MNXM1091612
bigg.metabolite:14denlipidA,MNXM1091613
bigg.metabolite:14denlipidA_LptA,MNXM1091614
bigg.metabolite:14dh2napcoa,MNXM1091615
bigg.metabolite:14m3hdACP,MNXM1091616
bigg.metabolite:14m3hpACP,MNXM1091617
bigg.metabolite:14m3ohdACP,MNXM1091618
bigg.metabolite:14m3opACP,MNXM1091619
bigg.metabolite:14mhdACP,MNXM1091620
bigg.metabolite:14mpACP,MNXM1091621
bigg.metabolite:14mthdeACP,MNXM1091622
bigg.metabolite:14mtp2eACP,MNXM1091623
bigg.metabolite:15gl,MNXM1091624
bigg.metabolite:15m3hdACP,MNXM1091625
bigg.metabolite:15m3ohdACP,MNXM1091626
bigg.metabolite:15methexeACP,MNXM1091627
bigg.metabolite:15mhdACP,MNXM1091628
bigg.metabolite:16m3hdACP,MNXM1091629
bigg.metabolite:16m3hpACP,MNXM1091630
bigg.metabolite:16m3ohdACP,MNXM1091631
bigg.metabolite:16m3opACP,MNXM1091632
bigg.metabolite:16mhdACP,MNXM1091633
bigg.metabolite:16mpACP,MNXM1091634
bigg.metabolite:16mthdeACP,MNXM1091635
bigg.metabolite:16mtp2eACP,MNXM1091636
bigg.metabolite:17m3hdACP,MNXM1091637
bigg.metabolite:17m3ohdACP,MNXM1091638
bigg.metabolite:17mhdACP,MNXM1091639
bigg.metabolite:17mthdeACP,MNXM1091640
bigg.metabolite:1ag160,MNXM1091641
bigg.metabolite:1ag180,MNXM1091642
bigg.metabolite:1ag181d9,MNXM1091643
bigg.metabolite:1ag182d9d12,MNXM1091644
bigg.metabolite:1ag3p,MNXM1091645
bigg.metabolite:1ag3p_LM,MNXM1091646
bigg.metabolite:1agly3p_LM,MNXM1091647
bigg.metabolite:1agpc140,MNXM1091648
bigg.metabolite:1agpc160,MNXM1091649
bigg.metabolite:1agpc161,MNXM1091650
bigg.metabolite:1agpc180,MNXM1091651
bigg.metabolite:1agpc181,MNXM1091652
bigg.metabolite:1agpc182,MNXM1091653
bigg.metabolite:1agpc205,MNXM1091654
bigg.metabolite:1agpc226,MNXM1091655
bigg.metabolite:1agpe182,MNXM1091656
bigg.metabolite:1agpe205,MNXM1091657
bigg.metabolite:1agpe226,MNXM1091658
bigg.metabolite:1docos4710131619eg3p,MNXM1091659
bigg.metabolite:1eicos58111417eg3p,MNXM1091660
bigg.metabolite:1gCELLWALL,MNXM1091661
bigg.metabolite:1gCELLWALL2,MNXM1091662
bigg.metabolite:1gDNA,MNXM1091663
bigg.metabolite:1gDNA2,MNXM1091664
bigg.metabolite:1gLIPIDS,MNXM1091665
bigg.metabolite:1gLIPIDS2,MNXM1091666
bigg.metabolite:1gLIPIDSr,MNXM1091667
bigg.metabolite:1gMeasuredSolutes,MNXM1091668
bigg.metabolite:1gMeasuredSolutes2,MNXM1091669
bigg.metabolite:1gOtherSolutes2,MNXM1091670
bigg.metabolite:1gOtherSolutes_r,MNXM1091671
bigg.metabolite:1gPROTEIN,MNXM1091672
bigg.metabolite:1gPROTEIN2,MNXM1091673
bigg.metabolite:1gRNA,MNXM1091674
bigg.metabolite:1gRNA2,MNXM1091675
bigg.metabolite:1gUnmeasuredSolutes,MNXM1091676
bigg.metabolite:1h2nap,MNXM1091677
bigg.metabolite:1hibup__S,MNXM1091678
bigg.metabolite:1hibupglu__S,MNXM1091679
bigg.metabolite:1pqq,MNXM1091680
bigg.metabolite:1py4h3c,MNXM1091681
bigg.metabolite:23btdl,MNXM1091682
bigg.metabolite:23oxsucc,MNXM1091683
bigg.metabolite:23tart,MNXM1091684
bigg.metabolite:2a3o4pob,MNXM1091685
bigg.metabolite:2aeppn,MNXM1091686
bigg.metabolite:2bdgsglyc,MNXM1091687
bigg.metabolite:2beACP,MNXM1091688
bigg.metabolite:2beacp,MNXM1091689
bigg.metabolite:2c4mthzep,MNXM1091690
bigg.metabolite:2chdeacp,MNXM1091691
bigg.metabolite:2cocdacp,MNXM1091692
bigg.metabolite:2ctdeacp,MNXM1091693
bigg.metabolite:2ddara,MNXM1091694
bigg.metabolite:2dmmq4,MNXM1091695
bigg.metabolite:2h24pdn,MNXM1091696
bigg.metabolite:2h3mb,MNXM1091697
bigg.metabolite:2h3mp,MNXM1091698
bigg.metabolite:2hadnt,MNXM1091699
bigg.metabolite:2hetdp,MNXM1091700
bigg.metabolite:2hibup__R,MNXM1091702
bigg.metabolite:2hibup__S,MNXM1091703
bigg.metabolite:2hibupglu__S,MNXM1091704
bigg.metabolite:2hptcl,MNXM1091705
bigg.metabolite:2hptcoa,MNXM1091706
bigg.metabolite:2hxic__L,MNXM1091707
bigg.metabolite:2ip3os,MNXM1091708
bigg.metabolite:2m35mdntha,MNXM1091709
bigg.metabolite:2m3os,MNXM1091710
bigg.metabolite:2m6sbenzq,MNXM1091711
bigg.metabolite:2m6solbzq,MNXM1091712
bigg.metabolite:2mb_p,MNXM1091713
bigg.metabolite:2mba,MNXM1091714
bigg.metabolite:2mbutACP,MNXM1091715
bigg.metabolite:2mehbtpp,MNXM1091716
bigg.metabolite:2mehtpp,MNXM1091717
bigg.metabolite:2mm,MNXM1091718
bigg.metabolite:2mm__R,MNXM1091719
bigg.metabolite:2mpa,MNXM1091720
bigg.metabolite:2np6mep,MNXM1091721
bigg.metabolite:2np6mobq,MNXM1091722
bigg.metabolite:2npmhmobq,MNXM1091723
bigg.metabolite:2o3h4pbut,MNXM1091724
bigg.metabolite:2ogm,MNXM1091725
bigg.metabolite:HC00591,MNXM1091725
bigg.metabolite:2oxosucc,MNXM1091726
bigg.metabolite:2pqq,MNXM1091727
bigg.metabolite:2ptcoa,MNXM1091728
bigg.metabolite:2tddACP,MNXM1091729
bigg.metabolite:2tddacp,MNXM1091730
bigg.metabolite:2tdeACP,MNXM1091731
bigg.metabolite:2tdeacp,MNXM1091732
bigg.metabolite:2thdeacp,MNXM1091733
bigg.metabolite:2theACP,MNXM1091734
bigg.metabolite:2theacp,MNXM1091735
bigg.metabolite:2tocdACP,MNXM1091736
bigg.metabolite:2tocdacp,MNXM1091737
bigg.metabolite:2toceACP,MNXM1091738
bigg.metabolite:2toceacp,MNXM1091739
bigg.metabolite:2ttdeacp,MNXM1091740
bigg.metabolite:33hmeoxobut,MNXM1091741
bigg.metabolite:34dhsa,MNXM1091742
bigg.metabolite:34dphacoa,MNXM1091743
bigg.metabolite:35dnta,MNXM1091744
bigg.metabolite:38ch2gtp,MNXM1091745
bigg.metabolite:3_rhma13unaga,MNXM1091746
bigg.metabolite:3a2oprop,MNXM1091747
bigg.metabolite:3a2oxpp,MNXM1091748
bigg.metabolite:3c1ht,MNXM1091749
bigg.metabolite:3dhcdchol,MNXM1091750
bigg.metabolite:3dhchol,MNXM1091751
bigg.metabolite:3dhdchol,MNXM1091752
bigg.metabolite:3dhlchol,MNXM1091753
bigg.metabolite:3g12dgr_MRSA,MNXM1091754
bigg.metabolite:3h3mop,MNXM1091755
bigg.metabolite:3h4atb,MNXM1091756
bigg.metabolite:3h4atbcoa,MNXM1091757
bigg.metabolite:3h6athcoa,MNXM1091758
bigg.metabolite:3hasp__L,MNXM1091759
bigg.metabolite:3hbACP,MNXM1091760
bigg.metabolite:3hbacp,MNXM1091761
bigg.metabolite:3hbutcoa,MNXM1091762
bigg.metabolite:3hbz,MNXM1091763
bigg.metabolite:3hbzcoa,MNXM1091764
bigg.metabolite:3hd6coa,MNXM1091765
bigg.metabolite:3hdc69coa,MNXM1091766
bigg.metabolite:3hdc6coa,MNXM1091767
bigg.metabolite:3hdc7coa,MNXM1091768
bigg.metabolite:3hdcos710131619coa,MNXM1091769
bigg.metabolite:3hdcscoa,MNXM1091770
bigg.metabolite:3hdd5811coa,MNXM1091771
bigg.metabolite:3hdd58coa,MNXM1091772
bigg.metabolite:3hdd5coa,MNXM1091773
bigg.metabolite:3hdd69coa,MNXM1091774
bigg.metabolite:3hdd6coa,MNXM1091775
bigg.metabolite:3hddACP,MNXM1091776
bigg.metabolite:3hddacp,MNXM1091777
bigg.metabolite:3hddccoa,MNXM1091778
bigg.metabolite:3hdeACP,MNXM1091779
bigg.metabolite:3hdeacp,MNXM1091780
bigg.metabolite:3hdec4coa,MNXM1091781
bigg.metabolite:3hdocoscoa,MNXM1091782
bigg.metabolite:3hechin,MNXM1091783
bigg.metabolite:3heico58111417coa,MNXM1091784
bigg.metabolite:3heico581114coa,MNXM1091785
bigg.metabolite:3heicoscoa,MNXM1091786
bigg.metabolite:3hgmeACP,MNXM1091787
bigg.metabolite:3hh5coa,MNXM1091788
bigg.metabolite:3hhACP,MNXM1091789
bigg.metabolite:3hhacp,MNXM1091790
bigg.metabolite:3hhd58coa,MNXM1091791
bigg.metabolite:3hhd691215coa,MNXM1091792
bigg.metabolite:3hhd6912coa,MNXM1091793
bigg.metabolite:3hhd71013coa,MNXM1091794
bigg.metabolite:3hhd710coa,MNXM1091795
bigg.metabolite:3hhd7coa,MNXM1091796
bigg.metabolite:3hhd912coa,MNXM1091797
bigg.metabolite:3hhd9coa,MNXM1091798
bigg.metabolite:3hhdccoa,MNXM1091799
bigg.metabolite:3hhdd4coa,MNXM1091800
bigg.metabolite:3hhdd7coa,MNXM1091801
bigg.metabolite:3hhpcoa,MNXM1091802
bigg.metabolite:3hibup__R,MNXM1091803
bigg.metabolite:3hibup__S,MNXM1091804
bigg.metabolite:3hibupglu__S,MNXM1091805
bigg.metabolite:3hlnlccoa,MNXM1091806
bigg.metabolite:3hlvstacid,MNXM1091807
bigg.metabolite:3hmcat,MNXM1091808
bigg.metabolite:3hnonacoa,MNXM1091809
bigg.metabolite:3hoc5coa,MNXM1091810
bigg.metabolite:3hoc7coa,MNXM1091811
bigg.metabolite:3hocACP,MNXM1091812
bigg.metabolite:3hocacp,MNXM1091813
bigg.metabolite:3hocdacp,MNXM1091814
bigg.metabolite:3hod691215coa,MNXM1091815
bigg.metabolite:3hod6912coa,MNXM1091816
bigg.metabolite:3hod91215coa,MNXM1091817
bigg.metabolite:3hod912coa,MNXM1091818
bigg.metabolite:3hod9coa,MNXM1091819
bigg.metabolite:3hodACP,MNXM1091820
bigg.metabolite:3hoddecACP,MNXM1091821
bigg.metabolite:3hodecoa,MNXM1091822
bigg.metabolite:3hpaACP,MNXM1091823
bigg.metabolite:3hpaacp,MNXM1091824
bigg.metabolite:3hpbcoa,MNXM1091825
bigg.metabolite:3hpdecacoa,MNXM1091826
bigg.metabolite:3hphpcoa,MNXM1091827
bigg.metabolite:3hphxacoa,MNXM1091828
bigg.metabolite:3hpmeACP,MNXM1091829
bigg.metabolite:3hpnonacoa,MNXM1091830
bigg.metabolite:3hpoctacoa,MNXM1091831
bigg.metabolite:3hpppnoh,MNXM1091832
bigg.metabolite:3hpppnohgluc,MNXM1091833
bigg.metabolite:3hpptcoa,MNXM1091834
bigg.metabolite:3hptslacoa,MNXM1091835
bigg.metabolite:3hsa,MNXM1091836
bigg.metabolite:3htd5811coa,MNXM1091837
bigg.metabolite:3htd58coa,MNXM1091838
bigg.metabolite:3htd5coa,MNXM1091839
bigg.metabolite:3htd71013coa,MNXM1091840
bigg.metabolite:3htd710coa,MNXM1091841
bigg.metabolite:3htd7coa,MNXM1091842
bigg.metabolite:3htdACP,MNXM1091843
bigg.metabolite:3htdacp,MNXM1091844
bigg.metabolite:3htdccoa,MNXM1091845
bigg.metabolite:3httccoa,MNXM1091846
bigg.metabolite:3hvacccoa,MNXM1091847
bigg.metabolite:3hvcoa,MNXM1091848
bigg.metabolite:3hvegACP,MNXM1091849
bigg.metabolite:3ispvs,MNXM1091850
bigg.metabolite:3kvcoa,MNXM1091851
bigg.metabolite:3m1hbtpp,MNXM1091852
bigg.metabolite:3mba,MNXM1091853
bigg.metabolite:3mbal,MNXM1091854
bigg.metabolite:3mbutdhla,MNXM1091855
bigg.metabolite:3meacmp,MNXM1091856
bigg.metabolite:3mehacp,MNXM1091857
bigg.metabolite:3npdhb,MNXM1091858
bigg.metabolite:3nphb,MNXM1091859
bigg.metabolite:3o6athcoa,MNXM1091860
bigg.metabolite:3od69coa,MNXM1091861
bigg.metabolite:3od6coa,MNXM1091862
bigg.metabolite:3odc69coa,MNXM1091863
bigg.metabolite:3odc6coa,MNXM1091864
bigg.metabolite:3odc7coa,MNXM1091865
bigg.metabolite:3odcos710131619coa,MNXM1091866
bigg.metabolite:3odd5811coa,MNXM1091867
bigg.metabolite:3odd58coa,MNXM1091868
bigg.metabolite:3odd5coa,MNXM1091869
bigg.metabolite:3odd5coc,MNXM1091870
bigg.metabolite:3odd6coa,MNXM1091871
bigg.metabolite:3oddccoa,MNXM1091872
bigg.metabolite:3odec4coa,MNXM1091873
bigg.metabolite:3odocoscoa,MNXM1091874
bigg.metabolite:3oeico58111417coa,MNXM1091875
bigg.metabolite:3oeico581114coa,MNXM1091876
bigg.metabolite:3oeicoscoa,MNXM1091877
bigg.metabolite:3oh5coa,MNXM1091878
bigg.metabolite:3ohacmp,MNXM1091879
bigg.metabolite:3ohd58coa,MNXM1091880
bigg.metabolite:3ohd691215coa,MNXM1091881
bigg.metabolite:3ohd6912coa,MNXM1091882
bigg.metabolite:3ohd71013coa,MNXM1091883
bigg.metabolite:3ohd710coa,MNXM1091884
bigg.metabolite:3ohd7coa,MNXM1091885
bigg.metabolite:3ohd912coa,MNXM1091886
bigg.metabolite:3ohd9coa,MNXM1091887
bigg.metabolite:3ohdccoa,MNXM1091888
bigg.metabolite:3ohdd4coa,MNXM1091889
bigg.metabolite:3ohdd7coa,MNXM1091890
bigg.metabolite:3ohpcoa,MNXM1091891
bigg.metabolite:3olnlccoa,MNXM1091892
bigg.metabolite:3ononacoa,MNXM1091893
bigg.metabolite:3ooc5coa,MNXM1091894
bigg.metabolite:3ooc7coa,MNXM1091895
bigg.metabolite:3ood691215coa,MNXM1091896
bigg.metabolite:3ood6912coa,MNXM1091897
bigg.metabolite:3ood91215coa,MNXM1091898
bigg.metabolite:3ood912coa,MNXM1091899
bigg.metabolite:3ood9coa,MNXM1091900
bigg.metabolite:3oodACP,MNXM1091901
bigg.metabolite:3oodecoa,MNXM1091902
bigg.metabolite:3opbcoa,MNXM1091903
bigg.metabolite:3opdecacoa,MNXM1091904
bigg.metabolite:3ophpcoa,MNXM1091905
bigg.metabolite:3ophxacoa,MNXM1091906
bigg.metabolite:3opnonacoa,MNXM1091907
bigg.metabolite:3opoctacoa,MNXM1091908
bigg.metabolite:3opptcoa,MNXM1091909
bigg.metabolite:3optslacoa,MNXM1091910
bigg.metabolite:3otd5811coa,MNXM1091911
bigg.metabolite:3otd58coa,MNXM1091912
bigg.metabolite:3otd5coa,MNXM1091913
bigg.metabolite:3otd71013coa,MNXM1091914
bigg.metabolite:3otd710coa,MNXM1091915
bigg.metabolite:3otd7coa,MNXM1091916
bigg.metabolite:3otdccoa,MNXM1091917
bigg.metabolite:3ottccoa,MNXM1091918
bigg.metabolite:3ovacccoa,MNXM1091919
bigg.metabolite:3ovegACP,MNXM1091920
bigg.metabolite:3oxddACP,MNXM1091921
bigg.metabolite:3oxddacp,MNXM1091922
bigg.metabolite:3oxdeACP,MNXM1091923
bigg.metabolite:3oxdeacp,MNXM1091924
bigg.metabolite:3oxhACP,MNXM1091925
bigg.metabolite:3oxhacp,MNXM1091926
bigg.metabolite:3oxhdACP,MNXM1091927
bigg.metabolite:3oxhdacp,MNXM1091928
bigg.metabolite:3oxocACP,MNXM1091929
bigg.metabolite:3oxocacp,MNXM1091930
bigg.metabolite:3oxocdacp,MNXM1091931
bigg.metabolite:3oxptcoa,MNXM1091932
bigg.metabolite:3oxtdACP,MNXM1091933
bigg.metabolite:3oxtdacp,MNXM1091934
bigg.metabolite:3pqq,MNXM1091935
bigg.metabolite:3ptcoa,MNXM1091936
bigg.metabolite:3tetd7ecoacrn,MNXM1091937
bigg.metabolite:3thexddcoacrn,MNXM1091938
bigg.metabolite:3ttetddcoacrn,MNXM1091939
bigg.metabolite:44dpc,MNXM1091940
bigg.metabolite:44dpnp,MNXM1091941
bigg.metabolite:44dpnsp,MNXM1091942
bigg.metabolite:44dpnspo,MNXM1091943
bigg.metabolite:44dpptf,MNXM1091944
bigg.metabolite:46dd4odtdpglc,MNXM1091945
bigg.metabolite:49dsha,MNXM1091946
bigg.metabolite:4a2mpmpmd,MNXM1091947
bigg.metabolite:4a_hthptn,MNXM1091948
bigg.metabolite:4aammp,MNXM1091949
bigg.metabolite:4abzglu,MNXM1091950
bigg.metabolite:4atb2coa,MNXM1091951
bigg.metabolite:4atbcoa,MNXM1091952
bigg.metabolite:4cnbt,MNXM1091953
bigg.metabolite:4h2oxg,MNXM1091954
bigg.metabolite:4hadnt,MNXM1091955
bigg.metabolite:4hmsial,MNXM1091956
bigg.metabolite:4hpro_DC,MNXM1091957
bigg.metabolite:4hptcoa,MNXM1091958
bigg.metabolite:4hptn,MNXM1091959
bigg.metabolite:4hthdp,MNXM1091960
bigg.metabolite:4hvcoa,MNXM1091961
bigg.metabolite:4m3hhexACP,MNXM1091962
bigg.metabolite:4m3hpAPC,MNXM1091963
bigg.metabolite:4m3ohexACP,MNXM1091964
bigg.metabolite:4m3opACP,MNXM1091965
bigg.metabolite:4methex2eACP,MNXM1091966
bigg.metabolite:4methexACP,MNXM1091967
bigg.metabolite:4mpACP,MNXM1091968
bigg.metabolite:4mtpACP,MNXM1091969
bigg.metabolite:4nphp,MNXM1091970
bigg.metabolite:4opa,MNXM1091971
bigg.metabolite:4opcoa,MNXM1091972
bigg.metabolite:4oxptcoa,MNXM1091973
bigg.metabolite:4oxptn,MNXM1091974
bigg.metabolite:4pen,MNXM1091975
bigg.metabolite:4poptcoa,MNXM1091976
bigg.metabolite:4pqq,MNXM1091977
bigg.metabolite:4pvcoa,MNXM1091978
bigg.metabolite:56dhpvs,MNXM1091979
bigg.metabolite:5a4icam,MNXM1091980
bigg.metabolite:5ca1rpi,MNXM1091981
bigg.metabolite:5fothf,MNXM1091982
bigg.metabolite:5fthf,MNXM1091982
bigg.metabolite:5g2op,MNXM1091983
bigg.metabolite:5m3hACP,MNXM1091984
bigg.metabolite:5m3hhACP,MNXM1091985
bigg.metabolite:5mhACP,MNXM1091986
bigg.metabolite:5mthf5glu,MNXM1091987
bigg.metabolite:5mti,MNXM1091988
